1;0;0.47712;2;12.027
5;1.6532;0.60206;5;11.841
7;1.4314;0.60206;7;12.628
9;2.1673;0.60206;3;13.624
15;0;1.4624;6;11.968
16;1.4314;1.4624;3;10.936
17;2.1673;1.2553;4;10.197
18;0.60206;1.2553;1;11.804
19;1.9912;1;5;8.895
20;0.77815;1.0792;2;12.611
21;1.4914;1.0792;1;12.269
23;0.47712;1.5051;4;12.883
24;2.5694;1.3802;5;10.349
27;2.2095;1.3802;3;15.174
28;1.2041;1.3802;2;12.67
30;0.47712;1.2553;6;9.8435
35;1.3802;1.3979;2;15.618
36;0;1.4314;3;13.743
40;0.47712;1.8751;3;14.837
41;1;1.8751;3;14.233
42;1.0792;1.2304;8;13.917
43;2.5587;1.6628;5;9.39
44;1.3979;1.6628;4;13.444
46;2.1106;1.7634;4;9.232
47;1.4914;1.6532;3;13.265
48;2.8513;1.6532;5;10.049
49;1.6532;1.6532;7;11.37
55;1.8865;2.0828;5;9.0614
56;1.8865;2.0828;5;9.4449
61;1.4314;2.1106;5;10.348
71;0.60206;2.0828;5;11.328
72;1.9777;2.0828;5;9.4138
73;2.0828;2.0828;4;9.218
74;1;2.1271;5;10.34
76;1;2.4639;4;10.09
78;1.8195;2.4639;8;14.838
84;1.2304;1.9395;5;12.921
88;2.6902;2.3541;7;15.49
89;1.8195;2.0128;6;8.8012
92;1.7634;2.0128;7;13.377
95;1.2304;2.1271;6;15.067
