2;1.7634;0.47712;2;7.5236
3;0;0.60206;4;5.1901
10;0.77815;0.60206;2;8.9207
14;2.2095;1.4624;1;3.4626
25;2.2095;1.3802;5;6.3113
26;2.5478;1.3802;3;4.422
29;0;1.3802;2;8.8593
31;2.3201;1.8062;2;6.9119
34;1.4914;1.8062;2;3.4319
38;0;1.8751;4;8.248
50;2.4518;1.1761;6;4.4798
53;2.2923;1.9777;4;4.8027
54;1.4314;1.9777;4;7.0056
57;1.9868;2.1106;2;8.6365
60;2.5478;2.1106;6;5.7744
62;1.8513;2.1847;4;6.4749
63;2.6335;2.1847;3;7.0815
64;2.0334;2.0334;2;6.0147
65;1.301;2.1847;3;5.6939
67;2.1903;2.1903;2;4.0146
70;2.1139;2.1139;1;4.8152
75;3;2.4639;5;5.9142
77;1.2041;2.4639;3;4.382
82;1.2041;2.1461;3;4.465
83;1.4314;1.9395;3;6.5495
86;2.5478;2.3541;2;7.643
90;1.2041;2.0128;5;2.9551
94;1.2041;2.1271;3;6.9165
96;2.6532;2.248;3;3.3388
99;1.9868;2.5877;1;2.3886
100;2.6435;2.2553;4;2.859
