3;0;0.6021;0.6021;4;6;5.1900;6.0823
14;2.2095;1.4624;1.4624;1;10;3.4626;3.7990
25;2.2095;1.3802;1.3802;5;6;6.3113;5.8260
31;2.3201;1.8062;1.8062;2;5;6.9119;11.4210
34;1.4914;1.8062;1.8062;2;1;3.4319;3.9028
50;2.4518;1.1761;1.1761;6;7;4.4798;5.0319
53;2.2923;1.9777;1.9777;4;6;4.7936;7.0544
54;1.4314;1.9777;1.9777;4;8;7.0056;6.4175
57;1.9868;2.1106;2.1106;2;8;8.6365;6.3610
60;2.5478;2.1106;2.1106;6;1;5.7744;5.7531
62;1.8513;2.1847;2.1847;4;1;6.7250;6.7250
64;2.0334;2.0334;2.0334;2;5;6.0147;7.4228
65;1.3010;2.1847;2.1847;3;10;5.6939;7.0876
67;2.1903;2.1903;1.9912;2;10;4.0146;5.0932
70;2.1139;2.1139;2.0864;1;5;4.8152;3.0636
75;3;2.4639;2.4639;5;10;5.9142;4.8256
77;1.2041;2.4639;2.4639;3;6;4.3820;5.9773
82;1.2041;2.1461;2.1461;3;9;4.4650;4.6452
83;1.4314;1.9395;1.9395;3;5;6.5495;9.2195
86;2.5478;2.3541;2.3541;2;7;7.6430;5.6588
90;1.2041;2.0128;2.0128;5;6;3.7124;5.9566
96;2.6532;2.2480;2.2480;3;6;3.4385;4.3335
99;1.9868;2.5877;2.6839;1;9;2.9047;5.8141
100;2.6435;2.2553;2.2553;4;7;3.0374;3.6632
