4;0.6021;0.6021;0.6021;4;7;18.9630;15.6280
6;1.4314;0.6021;0.6021;4;8;20.1030;19.1440
8;2.0128;0.6021;0.6021;5;7;20.6020;17.2130
11;1.7782;0.6021;0.6021;8;6;24.7490;20.6990
12;0;0;0;3;7;21.0960;10.6910
33;2.3962;1.8062;1.8062;2;9;18.5320;11.4780
37;1.8751;1.8751;1.8751;7;6;22.0360;19.7180
40;0.4771;1.8751;1.8751;3;6;14.8370;25.4690
41;1;1.8751;1.8751;3;6;14.2330;18.7280
45;1.6628;1.6628;1.6628;6;6;18.6840;16.3120
66;2;2.1847;1.2304;2;6;20.3540;15.1830
68;2.6812;2.1367;2.1367;4;5;21.6630;13.7080
87;0;2.3541;1.9777;4;8;17.9530;12.6340
88;2.6902;2.3541;1.1761;7;10;15.4900;14.7570
